order_id,delivery_date,order_date,order_status,seller_id,seller_name,order_amount_local_currency,customer_id,city_name,city_id
75339763,2019-03-30T20:09:55Z,2019-03-30T20:09:55Z,CONFIRMED,39903,d9710e9286b56fecf5393f5ce68bfc76,480.0,95,Montevideo,8
96849994,2019-05-14T14:28:39Z,2019-05-13T14:28:39Z,CONFIRMED,46230,15f149921ba34ebfbd1b3630b3a0f1d8,515.0,242,Montevideo,8
68996129,2019-02-04T21:12:52Z,2019-02-02T21:12:52Z,CONFIRMED,17515,2407AF0F792CFB591E21C338CDC73620,312.0,608,Montevideo,8
67554144,2019-01-28T12:29:19Z,2019-01-17T12:29:19Z,CONFIRMED,18170,b13d6633fbad3d327ef11e325fb893e3,490.0,669,Montevideo,8
78106364,2019-04-20T23:02:58Z,2019-04-19T23:02:58Z,CONFIRMED,50584,6b8e6a4196e04ae0bea627ecf2ae0021,520.0,696,Montevideo,8
86103433,2019-04-29T00:08:16Z,2019-04-28T00:08:16Z,CONFIRMED,100653,1072b5e121d349aaa62f9bf15af58e5d,220.0,867,Buenos Aires,10
99628076,2019-05-31T12:59:58Z,2019-05-31T12:59:58Z,CONFIRMED,87500,78c03b8b71584065aef0ea71640d9db2,30900.0,1646,Santiago,9
74303143,2019-03-23T21:35:24Z,2019-03-22T21:35:24Z,CONFIRMED,60240,dacc782f295143beb6186840728984cc,340.0,1690,Salta,411
96239855,2019-05-10T19:31:42Z,2019-05-09T19:31:42Z,CONFIRMED,136,176AB8C042BEA7EF0D91DF0A8C92B61A,142.0,1718,Montevideo,8
74863699,2019-03-27T21:14:43Z,2019-03-26T21:14:43Z,CONFIRMED,43202,027bb0027a8b4a0a81350e887ee68f49,590.0,1869,Montevideo,8
67720949,2019-01-20T00:14:33Z,2019-01-19T00:14:33Z,CONFIRMED,62038,afc7e454bfe944919fa42dec2697ff5d,420.0,1899,Buenos Aires,10
66329108,2019-01-04T21:42:28Z,2019-01-01T21:42:28Z,CONFIRMED,17276,b4440f61a6b179714cf10a4d60c56c77,500.0,1935,Montevideo,8
70470675,2019-02-28T23:25:00Z,2019-02-17T23:25:00Z,CONFIRMED,68395,61253dc0daf946d090d43a0f1a6f933a,595.0,2027,Montevideo,8
70248762,2019-02-18T12:56:44Z,2019-02-16T12:56:44Z,CONFIRMED,6447,3862a4395cda4cfb75fbc57db5cf969f,575.0,2090,Buenos Aires,10
99171201,2019-05-27T20:07:23Z,2019-05-27T20:07:23Z,CONFIRMED,68395,61253dc0daf946d090d43a0f1a6f933a,440.0,2158,Montevideo,8
72752714,2019-03-14T12:18:52Z,2019-03-13T12:18:52Z,CONFIRMED,3147,4f5a74b36cca1e1b787d6fa3c67e4786,195.0,2187,Montevideo,8
74969892,2019-03-27T21:49:44Z,2019-03-27T21:49:44Z,CONFIRMED,804,b0cffee21cd54ee0a728bbe9de1b05bb,340.0,2261,Montevideo,8
96202977,2019-05-10T13:13:52Z,2019-05-09T13:13:52Z,CONFIRMED,18316,53de55d8bcd0c5ff7ec8a4a8128429f4,200.0,2358,Buenos Aires,10
69258927,2019-02-06T20:53:58Z,2019-02-05T20:53:58Z,CONFIRMED,47665,1ebd11062a584c0c9d843917f04e8ad9,375.0,2407,San Fernando,163
74409252,2019-03-24T17:18:47Z,2019-03-23T17:18:47Z,CONFIRMED,55590,c53b4f06bddc4b87b68d43238f4c19f7,216.0,2416,Montevideo,8
